,Pclass,Sex,Age,SibSp,Fare,Embarked
0,3,1,22.0,1,7.25,0
1,1,0,38.0,1,71.2833,1
2,3,0,26.0,0,7.925,0
3,1,0,35.0,1,53.1,0
4,3,1,35.0,0,8.05,0
6,1,1,54.0,0,51.8625,0
7,3,1,2.0,3,21.075,0
8,3,0,27.0,0,11.1333,0
9,2,0,14.0,1,30.0708,1
10,3,0,4.0,1,16.7,0
11,1,0,58.0,0,26.55,0
12,3,1,20.0,0,8.05,0
13,3,1,39.0,1,31.275,0
14,3,0,14.0,0,7.8542,0
15,2,0,55.0,0,16.0,0
16,3,1,2.0,4,29.125,2
18,3,0,31.0,1,18.0,0
20,2,1,35.0,0,26.0,0
21,2,1,34.0,0,13.0,0
22,3,0,15.0,0,8.0292,2
23,1,1,28.0,0,35.5,0
24,3,0,8.0,3,21.075,0
25,3,0,38.0,1,31.3875,0
27,1,1,19.0,3,263.0,0
30,1,1,40.0,0,27.7208,1
33,2,1,66.0,0,10.5,0
34,1,1,28.0,1,82.1708,1
35,1,1,42.0,1,52.0,0
37,3,1,21.0,0,8.05,0
38,3,0,18.0,2,18.0,0
39,3,0,14.0,1,11.2417,1
40,3,0,40.0,1,9.475,0
41,2,0,27.0,1,21.0,0
43,2,0,3.0,1,41.5792,1
44,3,0,19.0,0,7.8792,2
49,3,0,18.0,1,17.8,0
50,3,1,7.0,4,39.6875,0
51,3,1,21.0,0,7.8,0
52,1,0,49.0,1,76.7292,1
53,2,0,29.0,1,26.0,0
54,1,1,65.0,0,61.9792,1
56,2,0,21.0,0,10.5,0
57,3,1,28.5,0,7.2292,1
58,2,0,5.0,1,27.75,0
59,3,1,11.0,5,46.9,0
60,3,1,22.0,0,7.2292,1
61,1,0,38.0,0,80.0,0
62,1,1,45.0,1,83.475,0
63,3,1,4.0,3,27.9,0
66,2,0,29.0,0,10.5,0
67,3,1,19.0,0,8.1583,0
68,3,0,17.0,4,7.925,0
69,3,1,26.0,2,8.6625,0
70,2,1,32.0,0,10.5,0
71,3,0,16.0,5,46.9,0
72,2,1,21.0,0,73.5,0
73,3,1,26.0,1,14.4542,1
74,3,1,32.0,0,56.4958,0
75,3,1,25.0,0,7.65,0
78,2,1,0.83,0,29.0,0
79,3,0,30.0,0,12.475,0
80,3,1,22.0,0,9.0,0
81,3,1,29.0,0,9.5,0
83,1,1,28.0,0,47.1,0
84,2,0,17.0,0,10.5,0
85,3,0,33.0,3,15.85,0
86,3,1,16.0,1,34.375,0
88,1,0,23.0,3,263.0,0
89,3,1,24.0,0,8.05,0
90,3,1,29.0,0,8.05,0
91,3,1,20.0,0,7.8542,0
92,1,1,46.0,1,61.175,0
93,3,1,26.0,1,20.575,0
94,3,1,59.0,0,7.25,0
96,1,1,71.0,0,34.6542,1
97,1,1,23.0,0,63.3583,1
98,2,0,34.0,0,23.0,0
99,2,1,34.0,1,26.0,0
100,3,0,28.0,0,7.8958,0
102,1,1,21.0,0,77.2875,0
103,3,1,33.0,0,8.6542,0
104,3,1,37.0,2,7.925,0
105,3,1,28.0,0,7.8958,0
106,3,0,21.0,0,7.65,0
108,3,1,38.0,0,7.8958,0
110,1,1,47.0,0,52.0,0
111,3,0,14.5,1,14.4542,1
112,3,1,22.0,0,8.05,0
113,3,0,20.0,1,9.825,0
114,3,0,17.0,0,14.4583,1
115,3,1,21.0,0,7.925,0
116,3,1,70.5,0,7.75,2
117,2,1,29.0,1,21.0,0
118,1,1,24.0,0,247.5208,1
119,3,0,2.0,4,31.275,0
120,2,1,21.0,2,73.5,0
122,2,1,32.5,1,30.0708,1
123,2,0,32.5,0,13.0,0
124,1,1,54.0,0,77.2875,0
125,3,1,12.0,1,11.2417,1
127,3,1,24.0,0,7.1417,0
129,3,1,45.0,0,6.975,0
130,3,1,33.0,0,7.8958,1
131,3,1,20.0,0,7.05,0
132,3,0,47.0,1,14.5,0
133,2,0,29.0,1,26.0,0
134,2,1,25.0,0,13.0,0
135,2,1,23.0,0,15.0458,1
136,1,0,19.0,0,26.2833,0
137,1,1,37.0,1,53.1,0
138,3,1,16.0,0,9.2167,0
139,1,1,24.0,0,79.2,1
141,3,0,22.0,0,7.75,0
142,3,0,24.0,1,15.85,0
143,3,1,19.0,0,6.75,2
144,2,1,18.0,0,11.5,0
145,2,1,19.0,1,36.75,0
146,3,1,27.0,0,7.7958,0
147,3,0,9.0,2,34.375,0
148,2,1,36.5,0,26.0,0
149,2,1,42.0,0,13.0,0
150,2,1,51.0,0,12.525,0
151,1,0,22.0,1,66.6,0
152,3,1,55.5,0,8.05,0
153,3,1,40.5,0,14.5,0
155,1,1,51.0,0,61.3792,1
156,3,0,16.0,0,7.7333,2
157,3,1,30.0,0,8.05,0
160,3,1,44.0,0,16.1,0
161,2,0,40.0,0,15.75,0
162,3,1,26.0,0,7.775,0
163,3,1,17.0,0,8.6625,0
164,3,1,1.0,4,39.6875,0
165,3,1,9.0,0,20.525,0
167,3,0,45.0,1,27.9,0
169,3,1,28.0,0,56.4958,0
170,1,1,61.0,0,33.5,0
171,3,1,4.0,4,29.125,2
172,3,0,1.0,1,11.1333,0
173,3,1,21.0,0,7.925,0
174,1,1,56.0,0,30.6958,1
175,3,1,18.0,1,7.8542,0
177,1,0,50.0,0,28.7125,1
178,2,1,30.0,0,13.0,0
179,3,1,36.0,0,0.0,0
182,3,1,9.0,4,31.3875,0
183,2,1,1.0,2,39.0,0
184,3,0,4.0,0,22.025,0
187,1,1,45.0,0,26.55,0
188,3,1,40.0,1,15.5,2
189,3,1,36.0,0,7.8958,0
190,2,0,32.0,0,13.0,0
191,2,1,19.0,0,13.0,0
192,3,0,19.0,1,7.8542,0
193,2,1,3.0,1,26.0,0
194,1,0,44.0,0,27.7208,1
195,1,0,58.0,0,146.5208,1
197,3,1,42.0,0,8.4042,0
199,2,0,24.0,0,13.0,0
200,3,1,28.0,0,9.5,0
202,3,1,34.0,0,6.4958,0
203,3,1,45.5,0,7.225,1
204,3,1,18.0,0,8.05,0
205,3,0,2.0,0,10.4625,0
206,3,1,32.0,1,15.85,0
207,3,1,26.0,0,18.7875,1
208,3,0,16.0,0,7.75,2
209,1,1,40.0,0,31.0,1
210,3,1,24.0,0,7.05,0
211,2,0,35.0,0,21.0,0
212,3,1,22.0,0,7.25,0
213,2,1,30.0,0,13.0,0
215,1,0,31.0,1,113.275,1
216,3,0,27.0,0,7.925,0
217,2,1,42.0,1,27.0,0
218,1,0,32.0,0,76.2917,1
219,2,1,30.0,0,10.5,0
220,3,1,16.0,0,8.05,0
221,2,1,27.0,0,13.0,0
222,3,1,51.0,0,8.05,0
224,1,1,38.0,1,90.0,0
225,3,1,22.0,0,9.35,0
226,2,1,19.0,0,10.5,0
227,3,1,20.5,0,7.25,0
228,2,1,18.0,0,13.0,0
230,1,0,35.0,1,83.475,0
231,3,1,29.0,0,7.775,0
232,2,1,59.0,0,13.5,0
233,3,0,5.0,4,31.3875,0
234,2,1,24.0,0,10.5,0
236,2,1,44.0,1,26.0,0
237,2,0,8.0,0,26.25,0
238,2,1,19.0,0,10.5,0
239,2,1,33.0,0,12.275,0
242,2,1,29.0,0,10.5,0
243,3,1,22.0,0,7.125,0
244,3,1,30.0,0,7.225,1
245,1,1,44.0,2,90.0,2
246,3,0,25.0,0,7.775,0
247,2,0,24.0,0,14.5,0
248,1,1,37.0,1,52.5542,0
249,2,1,54.0,1,26.0,0
251,3,0,29.0,1,10.4625,0
252,1,1,62.0,0,26.55,0
253,3,1,30.0,1,16.1,0
254,3,0,41.0,0,20.2125,0
255,3,0,29.0,0,15.2458,1
257,1,0,30.0,0,86.5,0
258,1,0,35.0,0,512.3292,1
259,2,0,50.0,0,26.0,0
261,3,1,3.0,4,31.3875,0
262,1,1,52.0,1,79.65,0
263,1,1,40.0,0,0.0,0
265,2,1,36.0,0,10.5,0
266,3,1,16.0,4,39.6875,0
267,3,1,25.0,1,7.775,0
268,1,0,58.0,0,153.4625,0
269,1,0,35.0,0,135.6333,0
271,3,1,25.0,0,0.0,0
272,2,0,41.0,0,19.5,0
273,1,1,37.0,0,29.7,1
275,1,0,63.0,1,77.9583,0
276,3,0,45.0,0,7.75,0
278,3,1,7.0,4,29.125,2
279,3,0,35.0,1,20.25,0
280,3,1,65.0,0,7.75,2
281,3,1,28.0,0,7.8542,0
282,3,1,16.0,0,9.5,0
283,3,1,19.0,0,8.05,0
285,3,1,33.0,0,8.6625,1
286,3,1,30.0,0,9.5,0
287,3,1,22.0,0,7.8958,0
288,2,1,42.0,0,13.0,0
289,3,0,22.0,0,7.75,2
290,1,0,26.0,0,78.85,0
291,1,0,19.0,1,91.0792,1
292,2,1,36.0,0,12.875,1
293,3,0,24.0,0,8.85,0
294,3,1,24.0,0,7.8958,0
296,3,1,23.5,0,7.2292,1
297,1,0,2.0,1,151.55,0
299,1,0,50.0,0,247.5208,1
302,3,1,19.0,0,0.0,0
305,1,1,0.92,1,151.55,0
307,1,0,17.0,1,108.9,1
308,2,1,30.0,1,24.0,1
309,1,0,30.0,0,56.9292,1
310,1,0,24.0,0,83.1583,1
311,1,0,18.0,2,262.375,1
312,2,0,26.0,1,26.0,0
313,3,1,28.0,0,7.8958,0
314,2,1,43.0,1,26.25,0
315,3,0,26.0,0,7.8542,0
316,2,0,24.0,1,26.0,0
317,2,1,54.0,0,14.0,0
318,1,0,31.0,0,164.8667,0
319,1,0,40.0,1,134.5,1
320,3,1,22.0,0,7.25,0
321,3,1,27.0,0,7.8958,0
322,2,0,30.0,0,12.35,2
323,2,0,22.0,1,29.0,0
325,1,0,36.0,0,135.6333,1
326,3,1,61.0,0,6.2375,0
327,2,0,36.0,0,13.0,0
328,3,0,31.0,1,20.525,0
329,1,0,16.0,0,57.9792,1
331,1,1,45.5,0,28.5,0
332,1,1,38.0,0,153.4625,0
333,3,1,16.0,2,18.0,0
336,1,1,29.0,1,66.6,0
337,1,0,41.0,0,134.5,1
338,3,1,45.0,0,8.05,0
339,1,1,45.0,0,35.5,0
340,2,1,2.0,1,26.0,0
341,1,0,24.0,3,263.0,0
342,2,1,28.0,0,13.0,0
343,2,1,25.0,0,13.0,0
344,2,1,36.0,0,13.0,0
345,2,0,24.0,0,13.0,0
346,2,0,40.0,0,13.0,0
348,3,1,3.0,1,15.9,0
349,3,1,42.0,0,8.6625,0
350,3,1,23.0,0,9.225,0
